slot,indexed_filename,friendly_label,source_relative_path,size_bytes,sha256
0,0000_VFX_SD_OS_2.10.IMG,VFX SD OS 2.10,VFX SD OS 2.10.img,819200,e297987bc94cb257e4a8adfe4d8fbf737378ca521ec22cdb094e47a9ad7ca013
1,0001_Stock_Library_Disk.IMG,Stock Library Disk,Stock Library Disk.img,819200,4fcfa6c36b1b1f88db429857f97dcce122e6efe6b4b1879b723afd73ae09a23f
2,0002_ATW_Colorado_alogdig.HFE,ATW Colorado alogdig,ATW/Colorado/alogdig.HFE,2049024,f5ac9ba58ced8c0e17efb1a11dc5940af1208485b8d25e825fba2966acac20e1
3,0003_ATW_Colorado_analog.HFE,ATW Colorado analog,ATW/Colorado/analog.HFE,2049024,5bab8dd0658e3fdb17d96bc68c4722247c8a26409457c4b50be47209084bd38d
4,0004_ATW_Colorado_basses.HFE,ATW Colorado basses,ATW/Colorado/basses.HFE,2049024,b53287fe2663cfe507829203ea1697e8b443b2d5f7022a1473596e056fd6b522
5,0005_ATW_Colorado_brass.HFE,ATW Colorado brass,ATW/Colorado/brass.HFE,2049024,f14c74c6c14141afab85ad898e94ece228bf64239b498bae055dde959ab7d8df
6,0006_ATW_Colorado_digital.HFE,ATW Colorado digital,ATW/Colorado/digital.HFE,2049024,a7cc2bfc5492042f62ec5217fe05b3e9feb6ba4e92f4258d09b47f3152a6eebe
7,0007_ATW_Colorado_digital2.HFE,ATW Colorado digital2,ATW/Colorado/digital2.HFE,2049024,9ec3b44724379d464a5d04932c3131a5027193ec3c4fe3673e7207a7971ccce8
8,0008_ATW_Colorado_digital3.HFE,ATW Colorado digital3,ATW/Colorado/digital3.HFE,2049024,7a7f3bb3509880d3414c8e8bc55c7150557db54ac1e39b9a6e1186bdf70e5c8c
9,0009_ATW_Colorado_digital4.HFE,ATW Colorado digital4,ATW/Colorado/digital4.HFE,2049024,de604cbbc3a171948ca2eddec7e37cfb21bafda5cb3e08c92ef565c5eb010897
10,0010_ATW_Colorado_digital5.HFE,ATW Colorado digital5,ATW/Colorado/digital5.HFE,2049024,d23534797338d4e74586b174e6049d9279da113be908f37308abf6684522602f
11,0011_ATW_Colorado_drums1.HFE,ATW Colorado drums1,ATW/Colorado/drums1.HFE,2049024,bc6f2f806d688d743ec4c7525cceab66d4dcdae84e0857530a819a4c5ef0a676
12,0012_ATW_Colorado_drums2.HFE,ATW Colorado drums2,ATW/Colorado/drums2.HFE,2049024,62a43a789813afe7d78b0e27d0504df82e77fa1c621561d4a4d081905c104589
13,0013_ATW_Colorado_electric.HFE,ATW Colorado electric,ATW/Colorado/electric.HFE,2049024,f09e154bd89e33440621703a507b8e73620bcd5c8fee6ac55c9d29cc2f81a246
14,0014_ATW_Colorado_orches1.HFE,ATW Colorado orches1,ATW/Colorado/orches1.HFE,2049024,d9172aee734e5b139097039f8a3f7fcb2a097b7e9c43cf3520fdac9bf53dd199
15,0015_ATW_Colorado_organ.HFE,ATW Colorado organ,ATW/Colorado/organ.HFE,2049024,a9d376d9d9a07845a4a136a85ca0bbb3a60107199e4851b600c3b605577c9a13
16,0016_ATW_Colorado_otherelc.HFE,ATW Colorado otherelc,ATW/Colorado/otherelc.HFE,2049024,a80ce91e7000e8a606bdbc5569de8123990fade56e0fd06d4b7ff7725062572b
17,0017_ATW_Colorado_percs1.HFE,ATW Colorado percs1,ATW/Colorado/percs1.HFE,2049024,83c8246ffb38d78888496e6c297f96837837d0e775def2204851eece66a5b125
18,0018_ATW_Colorado_piano.HFE,ATW Colorado piano,ATW/Colorado/piano.HFE,2049024,518f51c95753aa7b6c6cb463d5ca592717cf2bfa75e0f1d1577cc4619ebbb9e5
19,0019_ATW_Colorado_sd1_advpc100.HFE,ATW Colorado sd1_advpc100,ATW/Colorado/sd1_advpc100.HFE,2049024,1a0c4b53ee16e924bb046079253be060ac78f7d23b302ce3c51b4a740f0cd047
20,0020_ATW_Colorado_sd1_advpc101.HFE,ATW Colorado sd1_advpc101,ATW/Colorado/sd1_advpc101.HFE,2049024,e0e0631a31a7e2a0bcb62dd782a47f4cc55a34dc1642311ef8bfee8c4b831120
21,0021_ATW_Colorado_sd1_keys1.HFE,ATW Colorado sd1_keys1,ATW/Colorado/sd1_keys1.HFE,2049024,ba70b323bad18197f5ab371b708a5e9535a2e4cf75809de14aaad78fa6a21ad8
22,0022_ATW_Colorado_sd1_rom0.HFE,ATW Colorado sd1_rom0,ATW/Colorado/sd1_rom0.HFE,2049024,2b97e258649d2954291ff0d610bf7b43a4e510aede108e076ceddfa2bbdceb2b
23,0023_ATW_Colorado_sd1_rom1.HFE,ATW Colorado sd1_rom1,ATW/Colorado/sd1_rom1.HFE,2049024,22f80676541bc30c05f97a693370969f08eab4a5d998de8315a30471e3e5aebc
24,0024_ATW_Colorado_soundfx.HFE,ATW Colorado soundfx,ATW/Colorado/soundfx.HFE,2049024,88e00639fd90e0c80b96501a54c0537ee0ad05ed6e92eb08c78d89ad44cca9c7
25,0025_ATW_Colorado_soundfx2.HFE,ATW Colorado soundfx2,ATW/Colorado/soundfx2.HFE,2049024,7c5fe75fb43201c1fe1444f253089514279949f5105d00c4c1ee8c81e7f3d3b5
26,0026_ATW_Colorado_strings1.HFE,ATW Colorado strings1,ATW/Colorado/strings1.HFE,2049024,e31c37e9935658b30ddc8b19e62c0a5487036eece298dfd977b28c1927249b8c
27,0027_ATW_Colorado_Demos.HFE,ATW Colorado VFXsdDemos,ATW/Colorado/VFXsdDemos.HFE,2049024,1cba8619bb5164aa528b27d9043e5caf63ca62afc2479877a669498b39685ef6
28,0028_ATW_Colorado_Internal.HFE,ATW Colorado VFXsdInternal,ATW/Colorado/VFXsdInternal.HFE,2049024,affab0035b9d981cb72a115929bb90147acfee2936ec6ed73cc67f8c48cc303d
29,0029_ATW_Colorado_Keys.HFE,ATW Colorado VFXsdKeys,ATW/Colorado/VFXsdKeys.HFE,2049024,11a8fe4f205c1ad74e1232adf58eb66304f2b0e86fa4280b6bfa777cf984b54d
30,0030_ATW_Colorado_ROM.HFE,ATW Colorado VFXsdROM,ATW/Colorado/VFXsdROM.HFE,2049024,a8d69c62084d9bf23de6af26902d5897d0f28b78ce8307eaea156d1d8e7b6523
31,0031_ATW_Colorado_wind.HFE,ATW Colorado wind,ATW/Colorado/wind.HFE,2049024,f0b04301bd74f02ee5e7ef05a6dd40eed1962871ae93da67d836d6971c7cc829
32,0032_ATW_Colorado_wind2.HFE,ATW Colorado wind2,ATW/Colorado/wind2.HFE,2049024,4e91d059853e8fa8f21162d3af3272a15f8ee515138d86f59ce2e89a45d1b635
33,0033_ATW_Fabio_Garcia_FGarcia.HFE,ATW Fabio Garcia FGarcia,ATW/Fabio Garcia/FGarcia.HFE,2049024,496135574472c2cd006d7c88d411656e13808792a03ff7bc29833e1f0b91315a
34,0034_ATW_Neopatch_countrypatches.HFE,ATW Neopatch countrypatches,ATW/Neopatch/countrypatches.HFE,2049024,00b4ad0bc782b161b0425da93cad2e96aa6c0526bdddcfb168911f2c8c5e4347
35,0035_ATW_Neopatch_NEWBNK00.HFE,ATW Neopatch NEWBNK00,ATW/Neopatch/NEWBNK00.HFE,2049024,0d0a5b7fe6ff1a6ddf5957c401f9b6c7edcc51c3b4892d67a5dd89d538fa8025
36,0036_ATW_Neopatch_NEWBNK01.HFE,ATW Neopatch NEWBNK01,ATW/Neopatch/NEWBNK01.HFE,2049024,ba5573aa9223114b24268e4e82c85e57ebc02ae6d72ac417f30a8bb4c0ba9d7f
37,0037_ATW_Neopatch_NEWBNK02.HFE,ATW Neopatch NEWBNK02,ATW/Neopatch/NEWBNK02.HFE,2049024,0edafc25d6603a8ba4e2115021489c522398cb9d86c1331b6e6cacbfcb79e108
38,0038_ATW_Neopatch_playpatches.HFE,ATW Neopatch playpatches,ATW/Neopatch/playpatches.HFE,2049024,bd579c94cce46eb2495ee49431da9e49af51faa0eedb420a1ef93efe62e0acfa
